Id,IsActive,IsDeleted,CreatedOn,LastModifiedOn,DeletedOn,BookingFeeType,BookingFee,HasAccommodation,HasTravelArrangements,HasEquipment,Location,NoteToOrganizer,IsTermsAccepted,Status,IsFavourite,ArtistId,OrganizerId
18,t,f,2025-07-23 15:59:16.311+00,2025-07-23 15:59:16.311+00,,Negotiable,3000,t,t,f,International,Please,t,,f,105,57
24,t,f,2025-10-30 12:31:53.48+00,2025-10-30 12:31:53.48+00,,Fixed,250,t,f,t,International,Would love to have you!,t,,t,108,70
25,t,f,2025-10-30 13:35:04.256+00,2025-10-30 13:35:04.256+00,,Fixed,120,f,t,t,Local (within 50km radius),Excited to potentially work together,t,,f,122,70
26,t,f,2025-10-30 13:41:56.232+00,2025-10-30 13:41:56.232+00,,Fixed,200,t,t,t,Local (within 50km radius),,t,,f,122,51
27,t,f,2025-10-30 17:11:21.915+00,2025-10-30 17:11:21.915+00,,Fixed,300,t,t,t,Local (within 50km radius),I would love to perform at your next event! ,t,,f,122,55
28,t,f,2025-10-30 19:38:37.079+00,2025-10-30 19:38:37.079+00,,Fixed,300,t,t,t,Local (within 50km radius),Would love to collaborate,t,,f,122,44
32,t,f,2025-11-04 18:26:35.824+00,2025-11-04 18:26:35.824+00,,Fixed,2000,t,t,t,Local (within 50km radius),Looking forward to hearing back from you!,t,,f,123,56
33,t,f,2026-02-01 14:05:33.892+00,2026-02-01 14:05:33.892+00,,Negotiable,2,t,t,f,International,,t,,f,194,116
34,t,f,2026-02-01 14:08:46.695+00,2026-02-01 14:08:46.695+00,,Negotiable,200,t,t,f,International,,t,,f,194,70
35,t,f,2026-02-01 14:09:49.958+00,2026-02-01 14:09:49.958+00,,Negotiable,200,t,t,f,International,,t,,f,194,99
36,t,f,2026-02-01 14:09:49.958+00,2026-02-01 14:09:49.958+00,,Negotiable,200,t,t,f,International,,t,,f,194,99
37,t,f,2026-02-01 14:10:59.371+00,2026-02-01 14:10:59.371+00,,Negotiable,200,t,t,f,International,,t,,f,194,113
38,t,f,2026-02-01 14:12:15.392+00,2026-02-01 14:12:15.392+00,,Negotiable,200,t,t,f,International,,t,,f,194,109
39,t,f,2026-02-01 14:12:15.392+00,2026-02-01 14:12:15.392+00,,Negotiable,200,t,t,f,International,,t,,f,194,109
40,t,f,2026-02-01 14:13:15.317+00,2026-02-01 14:13:15.317+00,,Negotiable,200,t,t,f,International,,t,,f,194,101
41,t,f,2026-02-03 04:58:11.772+00,2026-02-03 04:58:11.772+00,,Fixed,100,f,f,t,International,"Hi! Thanks for reviewing my booking request.
I’d love the opportunity to perform at your event and bring an energetic hardgroove / hardbounce set.
Feel free to reach out if you need any additional info.",t,,f,184,91
42,t,f,2026-02-03 05:03:26.762+00,2026-02-03 05:03:26.762+00,,Negotiable,100,f,f,t,International,"Hi! Thanks for reviewing my booking request.
I’d love the opportunity to perform at your event and bring an energetic hardgroove or hardbounce set.
Feel free to reach out if you need any additional info.",t,,f,184,97
43,t,f,2026-02-03 05:06:16.007+00,2026-02-03 05:06:16.007+00,,Negotiable,100,f,f,t,International,"Hi! Thanks for reviewing my booking request.
I’d love the opportunity to perform at your event and bring an energetic 
hardgroove or hardbounce set.
Feel free to reach out if you need any additional info.",t,,f,184,98
44,t,f,2026-02-03 05:08:48.634+00,2026-02-03 05:08:48.634+00,,Negotiable,100,f,t,f,International,"Hi! Thanks for reviewing my booking request.
I’d love the opportunity to perform at your event and bring an energetic hardgroove or hardbounce set.
Feel free to reach out if you need any additional info.",t,,f,184,99
45,t,f,2026-02-03 05:10:08.849+00,2026-02-03 05:10:08.849+00,,Fixed,100,t,t,t,International,"Hi! Thanks for reviewing my booking request.
I’d love the opportunity to perform at your event and bring an energetic hardgroove or hardbounce set.
Feel free to reach out if you need any additional info.",t,,f,184,100
46,t,f,2026-02-03 05:12:50.773+00,2026-02-03 05:12:50.773+00,,Fixed,100,f,t,t,International,"Hi! Thanks for reviewing my booking request.
I’d love the opportunity to perform at your event and bring an energetic hardgroove or hardbounce set.
Feel free to reach out if you need any additional info.",t,,f,184,101
47,t,f,2026-02-03 05:16:29.47+00,2026-02-03 05:16:29.47+00,,Negotiable,100,f,t,t,International,"Hi! Thanks for reviewing my booking request.
I’d love the opportunity to perform at your event and bring an energetic hardgroove or hardbounce set.
Feel free to reach out if you need any additional info.",t,,f,184,116
