EventId,EventName,OrganizerName,DateTimeStart,DateTimeEnd,City,Country,StreetAddress,OrganizerId,PublicUserId,EventType,MainGenres
102,Gigevate Launch Party,,2025-08-08 19:00:00+00,2025-08-09 02:00:00+00,Rotterdam,Netherlands,7137 Mission Hills Avenue,44.0,,Workshop,-
111,A'DAM Toren ADE 2025,,2025-10-22 14:00:00+00,2025-10-27 06:00:00+00,Amsterdam,Netherlands,"Overhoeksplein 1, 1031KS",51.0,,Festival,Techno
112,OUTWORLD - KlangKuenstler All Night Long ADE 2025,,2025-10-25 00:00:00+00,2025-10-26 06:00:00+00,Amsterdam,Netherlands,"Ziggo Dome, Arena boulevard 61-75, 1101 DL",51.0,,Festival,Techno
113,United Identities X Touching Bass,,2024-10-20 22:00:00+00,2024-10-21 06:00:00+00,Amsterdam,Netherlands,Pazzanistraat 3,51.0,,Festival,-
115,ADE x A'DAM Toren: Official Opening 2025,,2025-10-22 20:00:00+00,2025-10-23 02:00:00+00,Amsterdam,Netherlands,"Overhoeksplein 1, Amsterdam",51.0,,Festival,Electronic
116,ADE by Day - Tom Trago invites Amaliah & Makèz,,2024-10-20 20:00:00+00,2024-10-21 02:00:00+00,Amsterdam,Netherlands,Pazzanistraat 3,51.0,,Festival,Electronic
117,Audio Obscura ADE x Mind Against pres. HABITAT,,2024-10-20 20:00:00+00,2024-10-21 02:00:00+00,Amsterdam,Netherlands,"Tt. Neveritaweg 15, Amsterdam",51.0,,Festival,Electronic
119,Ciranda x Doka Studio (ADE) w/ Antal & Mendel,,2024-10-20 20:00:00+00,2024-10-21 02:00:00+00,Amsterdam,Netherlands,"Doka Studio, Amsterdam",51.0,,Festival,Electronic
120,Percolator Pulse,,2024-10-20 20:00:00+00,2024-10-21 02:00:00+00,Amsterdam,Netherlands,"SEXYLAND World, Amsterdam",51.0,,Festival,Electronic
121,Jaguar House X KELDER - Resør Electronics Showcase,,2024-10-20 20:00:00+00,2024-10-21 02:00:00+00,Amsterdam,Netherlands,"KELDER, Amsterdam",51.0,,Festival,Electronic
122,Loveland x Circle of Live - ADE 2025,,2025-10-19 20:00:00+00,2025-10-20 02:00:00+00,Amsterdam,Netherlands,"Mediahaven, Amsterdam",51.0,,Festival,Electronic
123,Yoyaku x ADE - Shelter Amsterdam,,2025-10-20 20:00:00+00,2025-10-21 02:00:00+00,Amsterdam,Netherlands,"Shelter, Amsterdam",51.0,,Festival,Electronic
124,"IN ACT ADE: Dish Dash, Marino Canal B2B Henri Bergmann, Øostil",,2025-10-25 20:00:00+00,2025-10-26 02:00:00+00,Amsterdam,Netherlands,"Pier 14, Amsterdam",51.0,,Festival,Electronic
125,Audioholics ADE at B. Rooftop,,2025-10-25 20:00:00+00,2025-10-26 02:00:00+00,Amsterdam,Netherlands,"B. Rooftop, Amsterdam",51.0,,Festival,Electronic
127,Shelter presents: Brighter Days by Kamma & Masalo,,2024-10-19 20:00:00+00,2024-10-20 02:00:00+00,Amsterdam,Netherlands,"Shelter, Amsterdam",51.0,,Festival,Electronic
128,Madam Invites Detroit Love ADE,,2024-10-19 20:00:00+00,2024-10-20 02:00:00+00,Amsterdam,Netherlands,"Madam, Amsterdam",51.0,,Festival,Electronic
129,Ben Hemsley & Friends ADE Boat Party,,2024-10-19 20:00:00+00,2024-10-20 02:00:00+00,Amsterdam,Netherlands,"Watt Events Boat, Amsterdam",51.0,,Festival,Electronic
130,Spectrum x ADE: Joris Voorn & Friends,,2024-10-18 20:00:00+00,2024-10-19 02:00:00+00,Amsterdam,Netherlands,"Shelter, Amsterdam",51.0,,Festival,Electronic
131,He.She.They ADE: Diversity on the Dancefloor,,2024-10-19 20:00:00+00,2024-10-20 02:00:00+00,Amsterdam,Netherlands,"Paradiso, Amsterdam",51.0,,Festival,Electronic
132,SLAPFUNK x ADE 2024 – 11 Year Anniversary,,2024-10-19 20:00:00+00,2024-10-20 02:00:00+00,Amsterdam,Netherlands,"Orlyplein 76, Amsterdam",51.0,,Festival,Electronic
