event_id,event_name,organizer_id,organizer_name,event_country,historical_event_start,historical_event_end,primary_genre,event_type,event_amount_of_stages,event_amount_of_artists,pa_system,cdj,mixer,monitor,turntable,visuals_required,event_status,cancelled_event
561,Oliver Schories Live at Corvin Club,44,Gigevate Archive,Hungary,2018-05-19 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
560,Daydreaming Open Air,44,Gigevate Archive,Hungary,2018-07-20 00:00:00+00:00,0001-01-01 00:00:00+00:00,,FESTIVAL & OPEN-AIR,0,0,,,,,,False,,False
697,Concrete Bar_play Thing,44,Gigevate Archive,Republic of Korea,2019-09-16 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
695,Monika - Pulsar EP Release Party with Friends,44,Gigevate Archive,Republic of Korea,2019-09-27 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
694,Play Thing,44,Gigevate Archive,Republic of Korea,2019-10-12 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
373,CHAYOTE - Amsterdam,44,Gigevate Archive,Netherlands,2022-07-22 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
372,CHAYOTE - Berlin,44,Gigevate Archive,Germany,2022-08-13 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
371,Temple,44,Gigevate Archive,Netherlands,2022-09-03 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
370,TEMPLE,44,Gigevate Archive,Netherlands,2023-04-01 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
689,With You pres. NoNameLeft,44,Gigevate Archive,South Africa,2023-06-30 00:00:00+00:00,0001-01-01 00:00:00+00:00,,FESTIVAL & OPEN-AIR,0,0,,,,,,False,,False
369,Hard techno ladies night,44,Gigevate Archive,Netherlands,2023-08-04 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
